Subject,Title,Author,ISBN,Summary
Art,Storie [di] Ceramiche 8. Fonti scritte e iconografiche,Marcella Giorgio ,889285111.0,"Atti della Giornata di Studi in ricordo di Graziella Berti, a otto anni dalla scomparsa. 11 Giugno 2021  Meeting virtuale in diretta streaming Storie (di) Ceramiche è una giornata di studi dedicata alla memoria di Graziella Berti, studiosa di ceramica e figura importante per gli studi storici sulla Pisa medievale e moderna, venuta a mancare l11 Giugno del 2013. Questa occasione, giunta alla sua ottava edizione, vuole ricordarla nella maniera che lei stessa avrebbe apprezzato di più: attraverso i temi a lei cari, linnovazione della ricerca e le nuove generazioni di studiosi. Lottava edizione, svoltasi a otto anni dalla scomparsa della studiosa l11 Giugno 2021 in diretta streaming su Facebook e YouTube a causa della pandemia COVID-19, è stata dedicata alle Fonti scritte e iconografiche utili allanalisi delle ceramiche di età medievale e moderna. Sin dalle prime ricerche in collaborazione con Liana ed Ezio Tongiorgi, Graziella Berti ha affiancato lindagine sui documenti a quella derivante dai dati materiali, grazie ad un dialogo costante tra fonti di ambito diverso unite da uno scopo comune: raccontare e descrivere le ceramiche al fine di conoscerne le datazioni, gli usi, la circolazione, le terminologie, le tecnologie, la produzione. Allo studio dei documenti di archivio si è unito anche quello iconografico, ugualmente importante per contestualizzare e datare gli oggetti ceramici, consentendo, inoltre, di inquadrarli nei costumi e nella cultura del loro tempo. Le ricerche contenute in questo volume offrono un ampio sguardo alla realtà mediterranea di età medievale e moderna, con interventi che dalle porzioni più occidentali (Spagna e Francia) giungono, tramite lItalia e Malta, sino alle terre greche. Gli argomenti trattati permettono, tramite lanalisi delle fonti scritte e iconografiche e lincrocio con i dati materiali, di ricostruire le dinamiche di uso, gusto, consumo, produzione, datazione, circolazione, terminologia, moda delle ceramiche in un lungo arco temporale."
Art,Artes Cênicas e Decolonialidade,Erico José Souza de Oliveira,658672340.0,"Esse livro surge como resultante do Projeto de Extensão Artes Cênicas e Decolonialidade, do Departamento de Artes Cênicas do Instituto de Artes da Universidade de Brasília. Tendo sua primeira edição em 2020, contou com artistas-pesquisadores/as que dialogam com a temática decolonial e seus correlatos, como descolonialidade, contracolonialidade, pós-colonialidade, pensamento não hegemônico, quilombismo etc. A ideia do e-book vem da potência que foi esse momento de palestras virtuais e do desejo em registrar e divulgar de forma gratuita, para amplo acesso, os conteúdos abordados nessa primeira edição do projeto."
Art,Konstens och kulturens frihet i Norden,Nordic Council of Ministers Secretariat,9289372559.0,"Available online: https://pub.norden.org/nordiskkulturfakta2022-03/ Den här kunskapsöversikten behandlar förutsättningarna för konstens och kulturens frihet i en nordisk kontext. Översikten utgår ifrån forskningen om kulturpolitik, men inkluderar även andra publikationer och ett antal rapporter som är framtagna av myndigheter och intresseorganisationer."
Art,PENGANTAR SOSIOLOGI POLITIK,Amelia Haryanti,6239947407.0,"Buku ini di buat sebagai dasar pemahaman bagi masyarakat, terutama bagi masyarakat yang mau terjun dalam politik, apa kajian dari sosilogi politik. Apabila sosiologi mengkaji mengenai masyarakat, lalu politik mengkaji kekuasaan para pengambil keputusan, maka sosiologi politik mengkaji relasi antara kehidupan masyarakat dengan keputusan keputusan yang diambil oleh penguasa. Konsep-konsep sosiologi politik bersifat dinamis dan mengikuti perkembangan zaman sehingga menarik perhatian siapa saja yang mengikuti dinamika politik. Manfaat terbesar dari bidang sosiologi politik adalah mencerdaskan pembaca dalam menganalisis situasi sosial politik yang ada di sekitarnya."
Art,Digital Humanities and Libraries and Archives in Religious Studies,Clifford B. Anderson,3110534371.0,"How are digital humanists drawing on libraries and archives to advance research and learning in the field of religious studies and theology? How can librarians and archivists make their collections accessible to digital humanists? The goal of this volume is to provide an overview of how religious and theological libraries and archives are supporting the nascent field of digital humanities in religious studies. The volume showcases the perspectives of faculty, librarians, archivists, and allied cultural heritage professionals who are drawing on primary and secondary sources in innovative ways to create digital humanities projects in theology and religious studies. Topics include curating collections as data, conducting stylometric analyses of religious texts, and teaching digital humanities at theological libraries. The shift to digital humanities promises closer collaborations between scholars, archivists, and librarians. The chapters in this volume constitute essential reading for those interested in the future of theological librarianship and of digital scholarship in the fields of religious studies and theology."
Art,Information and Knowledge Organisation in Digital Humanities,Koraljka Golub,1000521192.0,"Information and Knowledge Organisation explores the role of knowledge organisation in the digital humanities. By focusing on how information is described, represented and organised in both research and practice, this work furthers the transdisciplinary nature of digital humanities. Including contributions from Asia, Australia, Europe, North America and the Middle East, the volume explores the potential uses of, and challenges involved in, applying the organisation of information and knowledge in the various areas of Digital Humanities. With a particular focus on the digital worlds of cultural heritage collections, the book also includes chapters that focus on machine learning, knowledge graphs, text analysis, text annotations and network analysis. Other topics covered include: semantic technologies, conceptual schemas and data augmentation, digital scholarly editing, metadata creation, browsing, visualisation and relevance ranking. Most importantly, perhaps, the book provides a starting point for discussions about the impact of information and knowledge organisation and related tools on the methodologies used in the Digital Humanities field. Information and Knowledge Organisation is intended for use by researchers, students and professionals interested in the role information and knowledge organisation plays in the Digital Humanities. It will be essential reading for those working in library and information science, computer science and across the humanities. The Open Access version of this book, available at www.taylorfrancis.com, has been made available under a Creative Commons Attribution-Non Commercial-No Derivatives 4.0 license."
Art,Glosario ilustrado de conservación y restauración de obras en papel: deterioro y tratamientos,Silvana Bojanoski,8580544653.0,"La elaboración de diccionarios y glosarios especializados es fundamental para la consolidación de un área de conocimiento, ya que los conceptos se asocian a términos, lo que necesariamente requiere pensar, evaluar, y en ocasiones, reconsiderar el vocabulario utilizado por los profesionales de un área especializada. La producción de un glosario multilingüe, al buscar términos equivalentes en diferentes idiomas, es un gran desafío, y adquiere una dimensión especial al exponer enfoques conceptuales y/o variaciones que existen en diferentes países. Entendemos que la designación precisa del fenómeno físico-químico asociado al deterioro es fundamental para la comunicación técnica y científica. Asimismo, la presentación de los tratamientos más comúnmente aplicados por los conservadores-restauradores en obra gráfica, con definiciones claras y objetivas, facilita la comunicación entre profesionales. El Glosario ilustrado de conservación y restauración de obras en papel: deterioros y tratamientos - Portugués, Inglés, Español, Griego presenta equivalencias en cuatro idiomas de términos y definiciones relacionados con obras bidimensionales, es decir, obras de arte, manuscritos e impresiones individuales."
Art,"Fortaleza em Tempo de Carnaval: Blocos de Pré-Carnaval, Maracatus e a política de Editais",Danielle Maia,6588492863.0,"Resultado de uma tese de doutorado defendida em 2013, no Programa de Pós-Graduação em Sociologia, da Universidade Federal do Ceará, este livro, por meio de uma descrição etnográfica, conduz o leitor pelo Tempo de Carnaval em Fortaleza  expressão aqui utilizada para se referir ao ciclo anual carnavalesco que se inicia na cidade com o pré-Carnaval, geralmente um mês antes do Carnaval propriamente dito, e prolonga-se até a chamada terça-feira gorda, quando cessam as atividades carnavalescas ocorridas nos três dias do feriado nacional que antecede a quaresma. Com base em amplo material de pesquisa, apresento e analiso o processo de mudanças das festas carnavalescas de Fortaleza, ocorrido nos anos 2000. No âmbito das festas de Carnaval na cidade, das medidas tomadas pela prefeitura, a criação da política de editais é a de maior interesse para os objetivos aqui propostos, pois estabeleceu uma nova dinâmica na concessão de recursos, além de diferentes relações entre os brincantes e o poder público, bem como outras configurações festivas e formas de controle da festa."
Art,Integrate,Arno Schlueter,3728141003.0,"Integrate Architecture Under the Influence of Climate Change Architektur unter Einfluss des Klimawandels ChangeThe projects selected for this publication show a range of approaches to making energy, carbon emissions, and their underpinning principles explicit in studio design work. We hope the selection not only inspires and stimulates, but also encourages both novice and expert in their search for future-proof architectures. Without a doubt, we are convinced that now is the time to challenge conventional norms and explore the potentials of such principles, not only to elevate design quality in building practice, but to benefit global society as a whole. Für dieses Buch wurden Arbeiten ausgewählt, die unterschiedliche Ansätze in der Umsetzung der Themen Energie, CO2-Emissionen und den dahinter liegenden Prinzipien im Entwurfsprozess thematisieren. Wir hoffen, dass die Arbeiten sowohl AnfängerInnen und ExpertInnen bei der Suche nach zukunfts-fähigen Architekturen anregen und ermutigen. Zweifellos ist es an der Zeit, beste hende Ansätze zu hinterfragen und neue Prinzipien zu testen, die unter Berucksich tigung der gestal terischen Qualität das Potenzial haben, unserer Gesellschaft als Ganzes zugutezukommen."
Art,Dimensions. Journal of Architectural Knowledge,Virginie Roy,3839458315.0,"»Dimensions. Journal of Architectural Knowledge« is an academic journal in, on and from the discipline of architecture, addressing the creation, constitution and transmission of architectural knowledge. It explores methods genuine to the discipline and architectural modes of interdisciplinary methodological adaptions. Processes, procedures and results of knowledge creation and practice are esteemed coequally, with particular attentiveness to the architectural design and epistemologies of aesthetic practice and research. Dimensions Issue 02/2021, edited by Katharina Voigt and Virginie Roy, investigates lived experience as source for the constitution of knowledge. This edition is concerned with the movements of exploration and the inner sensations of being moved by experience. Addressing situational experience allows bringing implicit dimensions of perception to attention, enabling a tangible understanding to emerge - for the actual encounter, as well as connected to memory and imagination. Practitioners and scholars from various disciplines open the realm for theoretical, applied and practice-related forms of research, whilst all contributions are aligned to enrich the discourse of architecture and its versatile dimensions."
Art,El Sicario de Poetas,Daniel Saferez ,1005592470.0,"El Sicario de Poetas es una novela corta que trata de concientizar temas como el suicidio y los problemas personales que llevan a este. Con párrafos decorados de poesías y una aventura que vas más allá de nuestro ser, comprenderemos un viaje lleno de increíbles personajes, en donde descubriremos todo lo que se esconde detrás de un simple concepto. Este relato se desarrolla de manera trepidante, como un susurro antes de doblar la esquina; es de los que empiezan mal, para continuar mejorando de una forma mágica y surrealista. En ella el autor nos relata los últimos momentos y el principio de la vida de Dylan, nuestro protagonista, que al verso superado por sus problemas personales, decide quitarse la vida, sin pensar que está acción iniciara una cadena de casualidades que lo llevarán a una espacio entre realidades, el mundo que existe entre la mente y el alma."
Art,Orphaned Landscapes,Patricia Spyer,823298701.0,"Less than a year after the end of authoritarian rule in 1998, huge images of Jesus Christ and other Christian scenes proliferated on walls and billboards around a provincial town in eastern Indonesia where conflict had arisen between Muslims and Christians. A manifestation of the extreme perception that emerged amid uncertainty and the challenge to seeing brought on by urban warfare, the street paintings erected by Protestant motorbike-taxi drivers signaled a radical departure from the aniconic tradition of the old colonial church, a desire to be seen and recognized by political authorities from Jakarta to the UN and European Union, an aim to reinstate the Christian look of a city in the face of the countrys widespread islamicization, and an opening to a more intimate relationship to the divine through the bringing-into-vision of the Christian god. Stridently assertive, these affectively charged mediations of religion, masculinity, Christian privilege and subjectivity are among the myriad ephemera of war, from rumors, graffiti, incendiary pamphlets, and Video CDs, to Peace Provocateur text-messages and childrens reconciliation drawings. Orphaned Landscapes theorizes the production of monumental street art and other visual media as part of a wider work on appearance in which ordinary people, wittingly or unwittingly, refigure the aesthetic forms and sensory environment of their urban surroundings. The book offers a rich, nuanced account of a place in crisis, while also showing how the work on appearance, far from epiphenomenal, is inherent to sociopolitical change. Whether considering the emergence and disappearance of street art or the atmospherics and fog of war, Spyer demonstrates the importance of an attunement to elusive, ephemeral phenomena for their palpable and varying effects in the world. Orphaned Landscapes: Violence, Visuality, and Appearance in Indonesia is available from the publisher on an open-access basis."
Art,Digitalisierung ethnologischer Sammlungen,Hans Peter Hahn,3839457904.0,"Die Digitalisierung ethnologischer Sammlungen ist ein wichtiger Schritt für eine »Öffnung der Inventare«. Mit ihren neuen Möglichkeiten bietet sie vielfältige Formen eines dialogischen Austauschs - auch mit sogenannten Herkunftsgesellschaften -, generiert erweiterte Perspektiven auf die eigenen Sammlungen und ermächtigt neue Akteur*innen. Dabei ergeben sich Fragen nach Ordnungssystemen, der angemessenen Beschreibung der Sammlungen, der Verantwortung für ihr Zustandekommen und der Legitimierung bestimmter Verbreitungspraktiken. Auf der Grundlage von Fallbeispielen präsentieren die Beiträger*innen des Bandes Antworten und zeichnen ein praxisorientiertes Bild von Wirkungen der Digitalisierung ethnologischer Sammlungen heute."
Art,Decolonizing Colonial Heritage,Britta Timm Knudsen,1000473600.0,"Decolonizing Colonial Heritage explores how different agents practice the decolonization of European colonial heritage at European and extra-European locations. Assessing the impact of these practices, the book also explores what a new vision of Europe in the postcolonial present could look like. Including contributions from academics, artists and heritage practitioners, the volume explores decolonial heritage practices in politics, contemporary history, diplomacy, museum practice, the visual arts and self-generated memorial expressions in public spaces. The comparative focus of the chapters includes examples of internal colonization in Europe and extends to former European colonies, among them Shanghai, Cape Town, and Rio de Janeiro. Examining practices in a range of different contexts, the book pays particular attention to sub-national actors whose work is opening up new futures through their engagement with decolonial heritage practices in the present. The volume also considers the challenges posed by applying decolonial thinking to existing understandings of colonial heritage. Decolonizing Colonial Heritage examines the role of colonial heritage in European memory politics and heritage diplomacy. It will be of interest to academics and students working in the fields of heritage and memory studies, colonial and imperial history, European studies, sociology, cultural studies, development studies, museum studies, and contemporary art."
Art,The Poetry of Meng Haoran,Paul W. Kroll,3110734893.0,"Meng Haoran (689-740) was one of the most important poets of the High Tang"" period"
Business,Proceedings of the 1st Brawijaya International Conference on Business and Law (BICoBL 2022),Adi Kusumaningrum,9464632143.0,"This is an open access book.The advancement of science is an important basic for the countrys development. It should be supported by the analysis which could provide solutions of various problems and phenomena happened in society. One of the problems amidst the problems around the world is how to resolve the economics and social problem as a result of the COVID-19 Pandemic. The complex problems due to pandemic are not merely believed to be bias if it is solved by a science so that it needs collaboration of other social sciences. Due to these issues of social science, we are conducting the 1st Brawijaya International Conference on Business and Law (BICoBL) 2022 on the 27th of October, 2022 in Bogor. The theme of the conference entitles Collaboration of Business and Law After Pandemic to Enhance Sustainable Development. We are looking forward to having you in our conference."
Business,Proceedings of the BISTIC Business Innovation Sustainability and Technology International Conference (BISTIC 2022),Dediek Tri Kurniawan,9464631783.0,"This is an open access book. Department of Management Faculty of Economics Universitas Negeri Malang seeks high quality research paper for the 1st Business Innovation Sustainability and Technology International Conference (BISTIC) 2022 that was held on September 1st-2nd, 2022. We invite all professors, researchers, students, practitioners, and other enthusiasts to participate in The Business Innovation Sustainability and Technology International Conference (BISTIC) 2022 to present, share, and discuss the phenomenon depicted by academic research result as a strategic way to enlarge and enhance the research development together. This year, BISTIC is held as a virtual conference where there will be online presentation."
Business,"Proceedings of the 10th International Conference on Business, Accounting, Finance and Economics (BAFE 2022)",Fanyu Chen,2494069998.0,"This is an open access book. The Faculty of Business and Finance, Universiti Tunku Abdul Rahman (UTAR) is pleased to organize the 10th International Conference on Business, Accounting, Finance, and Economics (BAFE 2022) on 11th October 2022 in virtual mode via Microsoft Teams or Zoom platform. This conference aims to bring together researchers to present up-to-date works that contribute to new theoretical, methodological and empirical knowledge"
Business,Partial Least Squares Structural Equation Modeling (PLS-SEM) Using R,Joseph F. Hair Jr.,3030805190.0,"Partial least squares structural equation modeling (PLS-SEM) has become a standard approach for analyzing complex inter-relationships between observed and latent variables. Researchers appreciate the many advantages of PLS-SEM such as the possibility to estimate very complex models and the methods flexibility in terms of data requirements and measurement specification. This practical open access guide provides a step-by-step treatment of the major choices in analyzing PLS path models using R, a free software environment for statistical computing, which runs on Windows, macOS, and UNIX computer platforms. Adopting the R softwares SEMinR package, which brings a friendly syntax to creating and estimating structural equation models, each chapter offers a concise overview of relevant topics and metrics, followed by an in-depth description of a case study. Simple instructions give readers the how-tos of using SEMinR to obtain solutions and document their results. Rules of thumb in every chapter provide guidance on best practices in the application and interpretation of PLS-SEM."
Business,Implementing Industry 4.0 in SMEs,Dominik T. Matt,3030705161.0,"This open access book addresses the practical challenges that Industry 4.0 presents for SMEs. While large companies are already responding to the changes resulting from the fourth industrial revolution , small businesses are in danger of falling behind due to the lack of examples, best practices and established methods and tools. Following on from the publication of the previous book Industry 4.0 for SMEs: Challenges, Opportunities and Requirements, the authors offer in this new book innovative results from research on smart manufacturing, smart logistics and managerial models for SMEs. Based on a large scale EU-funded research project involving seven academic institutions from three continents and a network of over fifty small and medium sized enterprises, the book reveals the methods and tools required to support the successful implementation of Industry 4.0 along with practical examples."
Business,The Art of Sustainable Performance,Bas Kodden,3030464636.0,"This open access book revisits common notions on how to select and recruit the right employees. It reveals that the secret of successful individuals and teams lies in a combination of talent and four important performance indicators, offering an innovative approach that companies can fruitfully adopt. Bas Kodden has studied key performance indicators among over 1,100 executives, senior staff and professionals, including 50 CEOs from leading Dutch companies. His findings put the present recruitment and selection procedures used by many prominent companies in a new light. Moreover, the book not only addresses theory; it also offers a practically applicable model for recruitment, selection and professional development. In closing, the book includes a variety of questionnaires and checklists for HR professionals and executives whose goal is to build sustainable and successful teams and organizations."
Business,Blockchain and Crypto Currency,Makoto Yano,9811533768.0,"This open access book contributes to the creation of a cyber ecosystem supported by blockchain technology in which technology and people can coexist in harmony. Blockchains have shown that trusted records, or ledgers, of permanent data can be stored on the Internet in a decentralized manner. The decentralization of the recording process is expected to significantly economize the cost of transactions. Creating a ledger on data, a blockchain makes it possible to designate the owner of each piece of data, to trade data pieces, and to market them. This book examines the formation of markets for various types of data from the theory of market quality proposed and developed by M. Yano. Blockchains are expected to give data itself the status of a new production factor. Bringing ownership of data to the hands of data producers, blockchains can reduce the possibility of information leakage, enhance the sharing and use of IoT data, and prevent data monopoly and misuse. The industry will have a bright future as soon as better technology is developed and when a healthy infrastructure is created to support the blockchain market."
Business,Purpose-driven Organizations,Carlos Rey,3030176746.0,"A higher purpose is not simply about profit. Symbolising the motivations of our actions and efforts, it reflects something much more aspirational and contributes to our global society. This open access book offers novel solutions to ensure employees support a wider organizational meaning whilst guaranteeing that the company benefits from the employees individual sense of purpose. Advocating a shift from previous models and theories, this book contributes to debate and offers insight for both scholars and practitioners. The chapters bring together academic rigour and practical models to help readers distinguish between the fads and influential strategies. Exploring the development of purpose at each level of business, from strategy and leadership to communication, this book avoids theoretical jargon and provides new approaches to building sustainable purpose-driven organizations. This is an Open Access book sponsored by DPMC Spain, UIC Barcelona and Corporate Excellence - Centre for Reputation Leadership"
Business,Indigenous Knowledge and Education in Africa,Chika Ezeanya-Esiobu,9811366357.0,"This open access book presents a strong philosophical, theoretical and practical argument for the mainstreaming of indigenous knowledge in curricula development, and in teaching and learning across the African continent. Since the dawn of political independence in Africa, there has been an ongoing search for the kind of education that will create a class of principled and innovative citizens who are sensitive to and committed to the needs of the continent. When indigenous or environment-generated knowledge forms the basis of learning in classrooms, learners are able to immediately connect their education with their lived reality. The result is much introspection, creativity and innovation across fields, sectors and disciplines, leading to societal transformation. Drawing on several theoretical assertions, examples from a wide range of disciplines, and experiences gathered from different continents at different points in history, the book establishes that for education to trigger the necessary transformation in Africa, it should be constructed on a strong foundation of learners indigenous knowledge. The book presents a distinct and uncharted pathway for Africa to advance sustainably through home-grown and grassroots based ideas, leading to advances in science and technology, growth of indigenous African business and the transformation of Africans into conscious and active participants in the continents progress. Indigenous Knowledge and Education in Africa is of interest to educators, entrepreneurs, policymakers, researchers and individuals engaged in finding sustainable and strategic solutions to regional and global advancement."
Business,Drones and the Creative Industry,Virginia Santamarina-Campos,3319952617.0,"This open access, interdisciplinary book presents innovative strategies in the use of civil drones in the cultural and creative industry. Specially aimed at small and medium-sized enterprises (SMEs), the book offers valuable insights from the fields of marketing, engineering, arts and management. With contributions from experts representing varied interests throughout the creative industry, including academic researchers, software developers and engineers, it analyzes the needs of the creative industry when using civil drones both outdoors and indoors. The book also provides timely recommendations to the industry, as well as guidance for academics and policymakers."
Business,Market Segmentation Analysis,Sara Dolnicar,9811088187.0,"This book is published open access under a CC BY 4.0 license. This open access book offers something for everyone working with market segmentation: practical guidance for users of market segmentation solutions; organisational guidance on implementation issues; guidance for market researchers in charge of collecting suitable data; and guidance for data analysts with respect to the technical and statistical aspects of market segmentation analysis. Even market segmentation experts will find something new, including an approach to exploring data structure and choosing a suitable number of market segments, and a vast array of useful visualisation techniques that make interpretation of market segments and selection of target segments easier. The book talks the reader through every single step, every single potential pitfall, and every single decision that needs to be made to ensure market segmentation analysis is conducted as well as possible. All calculations are accompanied not only with a detailed explanation, but also with R code that allows readers to replicate any aspect of what is being covered in the book using R, the open-source environment for statistical computing and graphics."
Business,Entrepreneurial Cognition,Dean A. Shepherd,3319717820.0,"This open access book investigates the inter-relationship between the mind and a potential opportunity to explore the psychology of entrepreneurship. Building on recent research, this book offers a broad scope investigation of the different aspects of what goes on in the mind of the (potential) entrepreneur as he or she considers the pursuit of a potential opportunity, the creation of a new organization, and/or the selection of an entrepreneurial career. This book focuses on individuals as the level of analysis and explores the impact of the organization and the environment only inasmuch as they impact the individuals cognitions. Readers will learn why some individuals and managers are able to able to identify and successfully act upon opportunities in uncertain environments while others are not. This book applies a cognitive lens to understand individuals knowledge, motivation, attention, identity, and emotions in the entrepreneurial process."
Business,Fallibility at Work,Øyvind Kvalnes,331963318.0,"This book is published open access under a CC BY 4.0 license. This book addresses how organizations can deal with human fallibility in order to create space for excellence at work. Some mistakes in work settings put lives at risk, while others create openings for innovative breakthroughs. In order to deal constructively with fallibility, an organization needs a communication climate where it is normal to voice opinions, admit mistakes, and ask for help in critical situations. The book builds on interviews with practitioners in healthcare, aviation, IT, public governance, and industry. It connects narratives from these fields with theories from organizational psychology and philosophy, as well as from positive organizational scholarship. In the final chapter, an overall ethics of fallibility at work is outlined. Fallibility at Work contributes to research in multiple academic disciplines, but also reaches out to practitioners who are interested in the connections between error and excellence in organizations."
Business,Knowledge Solutions,Olivier Serrat,981100983.0,"This book is open access under a CC BY-NC 3.0 IGO license. This book comprehensively covers topics in knowledge management and competence in strategy development, management techniques, collaboration mechanisms, knowledge sharing and learning, as well as knowledge capture and storage. Presented in accessible chunks, it includes more than 120 topics that are essential to high-performance organizations. The extensive use of quotes by respected experts juxtaposed with relevant research to counterpoint or lend weight to key concepts; cheat sheets that simplify access and reference to individual articles; as well as the grouping of many of these topics under recurrent themes make this book unique. In addition, it provides scalable tried-and-tested tools, method and approaches for improved organizational effectiveness. The research included is particularly useful to knowledge workers engaged in executive leadership; research, analysis and advice; and corporate management and administration. It is a valuable resource for those working in the public, private and third sectors, both in industrialized and developing countries."
Business,Aquaculture Perspective of Multi-Use Sites in the Open Ocean,Bela H. Buck,3319511599.0,"This book is open access under a CC BY 4.0 license. This volume addresses the potential for combining large-scale marine aquaculture of macroalgae, molluscs, crustaceans, and finfish, with offshore structures, primarily those associated with energy production, such as wind turbines and oil-drilling platforms. The volume offers a comprehensive overview and includes chapters on policy, science, engineering, and economic aspects to make this concept a reality. The compilation of chapters authored by internationally recognized researchers across the globe addresses the theoretical and practical aspects of multi-use, and presents case studies of research, development, and demonstration-scale installations in the US and EU."
Business,Trailblazing in Entrepreneurship,Dean A. Shepherd,3319487019.0,"This book is open access under a CC BY 4.0 license.In this book, the authors present a challenge for future research to build a stronger, more complete understanding of entrepreneurial phenomena. They argue that this more complete picture of entrepreneurial phenomena will likely come from scholars who undertake at least some trailblazing projects; from scholars who broaden the range of research questions, the potential outcomes of entrepreneurial action, and the selection and combination of research methods; and from researchers who avoid the endless debates about the margins of the field and its sub-fields or about whether one theoretical or philosophical lens is superior to another. This book offers suggestions for future research through a variety of topics including prosocial action, innovation, family business, sustainability and development, and the financial, social, and psychological costs of failure. It promises to make an important contribution to the development of the field and help academics, organizations, and society make useful contributions to the generation of entrepreneurial research."
Business,Library and Information Sciences,Chuanfu Chen,3642548121.0,"This book explores the development, trends and research of library and information sciences (LIS) in the digital age. Inside, readers will find research and case studies written by LIS experts, educators and theorists, most of whom have visited China, delivered presentations there and drafted their articles based on feedback they received. As a result, readers will discover the LIS issues and concerns that China and the international community have in common. The book first introduces the opportunities and challenges faced by the library and information literacy profession and discusses the key role of librarians in the future of information literacy education. Next, it covers trends in LIS education by examining the vision of the iSchool movement and detailing its practice in Syracuse University. The book then covers issues in information seeking and retrieval by showing how visual data mining technology can be used to detect the relationship and pattern between terms on the Q&A of a social media site. It also includes a case study regarding tracing information seeking behavior and usage on a multimedia website. Next, the book stresses the importance of building an academic accreditation framework for scientific datasets, explores the relationship between bibliometrics and university rankings, and details the birth and development of East Asian Libraries in North America. Overall, the book offers readers insight into the changing nature of LIS, including the electronic dissemination of information, the impact of the Internet on libraries, the changing responsibilities of library professionals, the new paradigm for evaluating information, and characteristics and functions of today's library personnel."
Business,Manifesto of the New Economy,Alexander Dolgin,3642212778.0,"The book describes the main directions for the development of the digital society. The author angles its book to those who are interested to know what would replace search engines, and how social networks would evolve; what profit can be made of different forms of informational collaboration (crowdsourcing, collaborative filtering). And, the main thing, how it will influence the structure of the society and human pursuit for happiness. The author does not confine himself to a theory, he sets and solves practical questions: How talent, success and stardom are interconnected, how to make money in social networks, what is the business model for the development of entertainment and media, how to measure cultural values, and what is the subjective time of the individual and how to make it qualitative? There have been no answers to these questions before. Internet and social networks have provided tools and data that Alexander Dolgin was the first to use in economics."
Business,The Way Ahead,Thomas A. Brzustowski,776617699.0,"Canada is a prosperous country, but this prosperity is being stressed by demographics, pressures on the public purse, and low productivity growth. To maintain the nation's high quality of life, prosperity must increase while remaining sustainable. Combining Tom Brzustowski's extensive knowledge of government, industry, and academia, The Way Ahead, articulates a strategy for moving the Canadian economy towards higher-value products based on research and development, describing the practical steps government, industry and academia must take to improve things in the short term and prepare strategically for the long term. He recommends increasing productivity growth by embracing an economy based on innovation, prioritizing research and development, marketing Canadian products internationally, and encouraging entrepreneurial activities in all sectors. Ultimately, increasing prosperity will require a new level of understanding, strategic coherence, and mutual support between the private and public sectors in Canada, a challenge that the author feels Canada is prepared to and absolutely must face."
Cooking,Powerfood für Kinder und Jugendliche,Holger Kiefer,3757952642.0,"Der Ernährungsratgeber: Für Säuglinge und Kleinkinder, Kinder und Jugendliche, Erwachsene, schwangere Frauen und stillende Mütter sowie ältere Erwachsene gibt es spezielle WHO Empfehlungen und DGE Empfehlungen, die wir berücksichtigen sollten. Nach den neusten Erkenntnissen erhalten Sie in diesem Buch die Ernährung für Kinder, Jugendliche und Teenager erklärt, um eine optimale Ernährung zu gewährleisten. Rezept-Ideen mit Ernährungstipps runden die vielfältigen Informationen mit einem Ernährungsplan aus den Ernährungsrichtlinien von der Schwangerschaft über Neugeborene, Kleinkinder bis zu großen Kindern ab, sodass Sie das Thema Ernährung auch Jugendlichen näher bringen können."
Cooking,Recetario de platillos tradicionales de los pueblos originarios de Puebla,Ana María Teresa García García,6078676970.0,"La cocina prehispánica en el mundo contemporáneo no solamente es un recuerdo de nuestro glorioso pasado, sino un recuerdo de dónde venimos, todo el trabajo y esfuerzo de generaciones, que se resisten a desaparecer y aunque han existido periodos en los cuales se les ha considerado como de segunda o poco sana, la realidad es que esta misma comida, alimentó a una cultura que se resiste a morir. Esta cocina se ha preservado a través de la tradición, la resistencia y la perseverancia de las culturas originarias, las guardianas de este conocimiento ancestral, que está en riesgo de perderse debido a que la gastronomía se ha tenido que adaptar a los nuevos gustos y necesidades de una sociedad contemporánea y globalizada. En este libro-compendio podrán experimentar la resistencia desde la cosmovisión de las culturas totonaca, náhuatl y ngigua, e incluso podrán saborearla gracias a un esfuerzo por mantener su continuidad en la gastronomía mexicana actual."
Cooking,"Live2Eat, Eat2Live",Anita Aange-Koomen,9492389193.0,"Forget diets. Beat addictions. Don't give up, but live up. If there would be a pill (without side effects) for guaranteed happiness, would you buy it? You probably would, because «being happy» is the highest goal of every human being, for which we sacrifice everything. Well, such a pill exists. It has no annoying side effects, it's FREE, and you have a «not good, money back» guarantee. It's not even difficult to get it: you have it in your hands right now, but it only works if you take a few pages every day. No starvation and torture sports in this book. Eating is a party and life is fun. If you want to get healthy, slim, fit, and happy, the best way is to slowly-but-surely change your habits. Twelve 7-course dinners full of information, about nutrition and healthy habits, invite you to take a step forward every month, with pleasure, just keep going, even after you have reached your goal. This way, everyone can do it. That is good news. Do you already feel a little happier? Of course you do. It's already working. And you haven't even bought the medicine yet."
